ZipCode,Main_City,FIPS,County_Forecast_Week_Ahead_Total,ZipPopulation,ZipCode_Forecast_Week_Ahead_Total,4/3/20,4/10/20,4/17/20
60480,Willow Springs,17031,8183,5370,8,8,12,18
60482,Worth,17031,8183,10916,17,17,25,37
60501,Summit Argo,17031,8183,11854,18,18,27,40
60513,Brookfield,17031,8183,18880,29,29,43,64
60525,La Grange,17031,8183,30576,47,47,70,105
60526,La Grange Park,17031,8183,13546,21,21,31,46
60534,Lyons,17031,8183,10544,16,16,24,36
60546,Riverside,17031,8183,15685,24,24,36,54
60558,Western Springs,17031,8183,13227,21,21,31,46
60601,Chicago,17031,8183,14675,23,23,34,51
60602,Chicago,17031,8183,1244,2,2,3,4
60603,Chicago,17031,8183,1174,2,2,3,4
60604,Chicago,17031,8183,782,1,1,1,1
60605,Chicago,17031,8183,27519,43,43,64,96
60606,Chicago,17031,8183,3101,5,5,7,10
60607,Chicago,17031,8183,29591,46,46,69,103
60608,Chicago,17031,8183,79205,123,123,184,276
60609,Chicago,17031,8183,61495,95,95,142,213
60610,Chicago,17031,8183,39019,61,61,91,136
60611,Chicago,17031,8183,32426,50,50,75,112
60612,Chicago,17031,8183,34311,53,53,79,118
60613,Chicago,17031,8183,50113,78,78,117,175
60614,Chicago,17031,8183,71308,111,111,166,249
60615,Chicago,17031,8183,41563,65,65,97,145
60616,Chicago,17031,8183,54464,85,85,127,190
60617,Chicago,17031,8183,82534,128,128,192,288
60618,Chicago,17031,8183,94395,147,147,220,330
60619,Chicago,17031,8183,61258,95,95,142,213
60620,Chicago,17031,8183,68096,106,106,159,238
60621,Chicago,17031,8183,29042,45,45,67,100
60622,Chicago,17031,8183,52793,82,82,123,184
60623,Chicago,17031,8183,85979,133,133,199,298
60624,Chicago,17031,8183,36158,56,56,84,126
60625,Chicago,17031,8183,79243,123,123,184,276
60626,Chicago,17031,8183,49730,77,77,115,172
60628,Chicago,17031,8183,66724,104,104,156,234
60629,Chicago,17031,8183,111850,174,174,261,391
60630,Chicago,17031,8183,57344,89,89,133,199
60631,Chicago,17031,8183,29529,46,46,69,103
60632,Chicago,17031,8183,91039,141,141,211,316
60633,Chicago,17031,8183,12871,20,20,30,45
60634,Chicago,17031,8183,75995,118,118,177,265
60636,Chicago,17031,8183,32203,50,50,75,112
60637,Chicago,17031,8183,47454,74,74,111,166
60638,Chicago,17031,8183,58797,91,91,136,204
60639,Chicago,17031,8183,90517,141,141,211,316
60640,Chicago,17031,8183,69715,108,108,162,243
60641,Chicago,17031,8183,71023,110,110,165,247
60642,Chicago,17031,8183,20201,31,31,46,69
60643,Chicago,17031,8183,49870,77,77,115,172
60644,Chicago,17031,8183,47712,74,74,111,166
60645,Chicago,17031,8183,47732,74,74,111,166
60646,Chicago,17031,8183,27987,43,43,64,96
60647,Chicago,17031,8183,87509,136,136,204,306
60649,Chicago,17031,8183,46024,71,71,106,159
60651,Chicago,17031,8183,63218,98,98,147,220
60652,Chicago,17031,8183,43907,68,68,102,153
60653,Chicago,17031,8183,31972,50,50,75,112
60654,Chicago,17031,8183,19135,30,30,45,67
60655,Chicago,17031,8183,28804,45,45,67,100
60656,Chicago,17031,8183,27579,43,43,64,96
60657,Chicago,17031,8183,70052,109,109,163,244
60659,Chicago,17031,8183,41068,64,64,96,144
60660,Chicago,17031,8183,43242,67,67,100,150
60661,Chicago,17031,8183,9926,15,15,22,33
60668,Chicago,17031,8183,9926,15,15,22,33
60669,Chicago,17031,8183,9926,15,15,22,33
60670,Chicago,17031,8183,9926,15,15,22,33
60673,Chicago,17031,8183,9926,15,15,22,33
60674,Chicago,17031,8183,9926,15,15,22,33
60675,Chicago,17031,8183,9926,15,15,22,33
60677,Chicago,17031,8183,9926,15,15,22,33
60678,Chicago,17031,8183,9926,15,15,22,33
60682,Chicago,17031,8183,9926,15,15,22,33
60684,Chicago,17031,8183,9926,15,15,22,33
60685,Chicago,17031,8183,9926,15,15,22,33
60686,Chicago,17031,8183,9926,15,15,22,33
60687,Chicago,17031,8183,9926,15,15,22,33
60688,Chicago,17031,8183,9926,15,15,22,33
60689,Chicago,17031,8183,9926,15,15,22,33
60693,Chicago,17031,8183,9926,15,15,22,33
60694,Chicago,17031,8183,9926,15,15,22,33
60695,Chicago,17031,8183,9926,15,15,22,33
60696,Chicago,17031,8183,9926,15,15,22,33
60697,Chicago,17031,8183,9926,15,15,22,33
60699,Chicago,17031,8183,9926,15,15,22,33
60701,Chicago,17031,8183,9926,15,15,22,33
60706,Harwood Heights,17031,8183,23301,36,36,54,81
60707,Elmwood Park,17031,8183,43019,67,67,100,150
60712,Lincolnwood,17031,8183,12539,19,19,28,42
60714,Niles,17031,8183,29743,46,46,69,103
60803,Alsip,17031,8183,22390,35,35,52,78
60804,Cicero,17031,8183,83147,129,129,193,289
60805,Evergreen Park,17031,8183,19666,31,31,46,69
60827,Riverdale,17031,8183,28577,44,44,66,99
62413,Annapolis,17033,14,4136,3,3,4,6
62433,Hutsonville,17033,14,927,1,1,1,1
62442,Martinsville,17033,14,2814,2,2,3,4
62451,Palestine,17033,14,2041,1,1,1,1
62454,Robinson,17033,14,11088,7,7,10,15
62478,West York,17033,14,389,0,0,0,0
62428,Greenup,17035,7,2803,2,2,3,4
62440,Lerna,17035,7,1315,1,1,1,1
62468,Toledo,17035,7,2514,2,2,3,4
62469,Trilla,17035,7,2514,2,2,3,4
60111,Clare,17037,98,150,0,0,0,0
60112,Cortland,17037,98,4356,3,3,4,6
60115,Dekalb,17037,98,45325,29,29,43,64
60116,Carol Stream,17037,98,45325,29,29,43,64
60117,Bloomingdale,17037,98,45325,29,29,43,64
60145,Kingston,17037,98,2673,2,2,3,4
60150,Malta,17037,98,1692,1,1,1,1
60520,Hinckley,17037,98,2810,2,2,3,4
60550,Shabbona,17037,98,1454,1,1,1,1
60556,Waterman,17037,98,2029,1,1,1,1
61727,Clinton,17039,14,9826,5,5,7,10
61735,Dewitt,17039,14,454,0,0,0,0
61777,Wapella,17039,14,1348,1,1,1,1
61778,Waynesville,17039,14,691,0,0,0,0
61790,Normal,17039,14,691,0,0,0,0
61791,Bloomington,17039,14,691,0,0,0,0
61799,Bloomington,17039,14,691,0,0,0,0
61852,Longview,17041,14,221,0,0,0,0
61872,Sadorus,17041,14,898,0,0,0,0
61910,Arcola,17041,14,4225,2,2,3,4
61919,Camargo,17041,14,942,0,0,0,0
61930,Hindsboro,17041,14,745,0,0,0,0
61953,Tuscola,17041,14,6067,3,3,4,6
61956,Villa Grove,17041,14,2709,1,1,1,1
60101,Addison,17043,1183,39216,51,51,76,114
60103,Bartlett,17043,1183,42196,55,55,82,123
60106,Bensenville,17043,1183,20462,27,27,40,60
60108,Bloomingdale,17043,1183,22766,30,30,45,67
60126,Elmhurst,17043,1183,48410,63,63,94,141
60128,Carol Stream,17043,1183,48410,63,63,94,141
60133,Hanover Park,17043,1183,38400,50,50,75,112
60137,Glen Ellyn,17043,1183,38279,50,50,75,112
60139,Glendale Heights,17043,1183,34364,45,45,67,100
60143,Itasca,17043,1183,10996,14,14,21,31
60148,Lombard,17043,1183,52963,69,69,103,154
60157,Medinah,17043,1183,2502,3,3,4,6
60172,Roselle,17043,1183,24551,32,32,48,72
60181,Villa Park,17043,1183,28801,37,37,55,82
60187,Wheaton,17043,1183,29708,39,39,58,87
60188,Carol Stream,17043,1183,42602,55,55,82,123
60189,Wheaton,17043,1183,30427,40,40,60,90
60190,Winfield,17043,1183,11143,15,15,22,33
60191,Wood Dale,17043,1183,14147,18,18,27,40
60514,Clarendon Hills,17043,1183,10109,13,13,19,28
60515,Downers Grove,17043,1183,28566,37,37,55,82
60516,Downers Grove,17043,1183,29268,38,38,57,85
60517,Woodridge,17043,1183,32328,42,42,63,94
60521,Hinsdale,17043,1183,18402,24,24,36,54
60523,Oak Brook,17043,1183,10136,13,13,19,28
60527,Willowbrook,17043,1183,27903,36,36,54,81
60532,Lisle,17043,1183,28178,37,37,55,82
60540,Naperville,17043,1183,45112,59,59,88,132
60555,Warrenville,17043,1183,13448,18,18,27,40
60559,Westmont,17043,1183,24529,32,32,48,72
60561,Darien,17043,1183,23163,30,30,45,67
60563,Naperville,17043,1183,37409,49,49,73,109
61917,Brocton,17045,14,771,0,0,0,0
61924,Chrisman,17045,14,2258,1,1,1,1
61932,Hume,17045,14,439,0,0,0,0
61933,Kansas,17045,14,901,0,0,0,0
61940,Metcalf,17045,14,21840,6,6,9,13
61942,Newman,17045,14,1045,0,0,0,0
61943,Oakland,17045,14,1660,0,0,0,0
61944,Paris,17045,14,12259,4,4,6,9
62423,Dennison,17045,14,485,0,0,0,0
62441,Marshall,17045,14,6786,2,2,3,4
62806,Albion,17047,7,3351,6,6,9,13
62815,Bone Gap,17047,7,287,1,1,1,1
62443,Mason,17049,14,1678,4,4,6,9
62473,Watson,17049,14,1443,3,3,4,6
62858,Louisville,17049,14,2790,7,7,10,15
62011,Bingham,17051,14,172,0,0,0,0
62253,Keyesport,17051,14,583,0,0,0,0
62262,Mulberry Grove,17051,14,1503,1,1,1,1
62411,Altamont,17051,14,4136,3,3,4,6
62418,Brownstown,17051,14,2108,1,1,1,1
62426,Edgewood,17051,14,873,1,1,1,1
62458,Saint Elmo,17051,14,1979,1,1,1,1
62471,Vandalia,17051,14,10363,6,6,9,13
62880,Saint Peter,17051,14,706,0,0,0,0
62885,Shobonier,17051,14,722,0,0,0,0
60949,Ludlow,17053,21,535,1,1,1,1
60957,Paxton,17053,21,5288,6,6,9,13
60962,Roberts,17053,21,725,1,1,1,1
61773,Sibley,17053,21,413,0,0,0,0
61845,Foosland,17053,21,715,1,1,1,1
62812,Benton,17055,14,10905,6,6,9,13
62819,Buckner,17055,14,408,0,0,0,0
62822,Christopher,17055,14,3091,2,2,3,4
62836,Ewing,17055,14,800,0,0,0,0
62865,Mulkeytown,17055,14,1977,1,1,1,1
62874,Orient,17055,14,415,0,0,0,0
62884,Sesser,17055,14,2716,2,2,3,4
62897,Whittington,17055,14,362,0,0,0,0
62983,Royalton,17055,14,1411,1,1,1,1
62999,Zeigler,17055,14,1794,1,1,1,1
61427,Cuba,17057,14,2192,1,1,1,1
61431,Ellisville,17057,14,296,0,0,0,0
61432,Fairview,17057,14,658,0,0,0,0
61441,Ipava,17057,14,1001,1,1,1,1
61477,Smithfield,17057,14,573,0,0,0,0
61501,Astoria,17057,14,1534,1,1,1,1
61520,Canton,17057,14,16806,9,9,13,19
61542,Lewistown,17057,14,3628,2,2,3,4
62871,Omaha,17059,7,579,0,0,0,0
62954,Junction,17059,7,313,0,0,0,0
62979,Ridgway,17059,7,1134,0,0,0,0
62984,Shawneetown,17059,7,1643,0,0,0,0
62016,Carrollton,17061,7,3674,0,0,0,0
62027,Eldred,17061,7,34313,4,4,6,9
62050,Hillview,17061,7,8946,1,1,1,1
62081,Rockbridge,17061,7,2433,0,0,0,0
62092,White Hall,17061,7,2932,0,0,0,0
60437,Kinsman,17063,77,18945,39,39,58,87
60444,Mazon,17063,77,1721,4,4,6,9
60479,Verona,17063,77,17112,35,35,52,78
62817,Broughton,17065,14,1198,2,2,3,4
62828,Dahlgren,17065,14,1334,2,2,3,4
62859,Mc Leansboro,17065,14,5829,9,9,13,19
62860,Macedonia,17065,14,546,1,1,1,1
62313,Basco,17067,7,378,0,0,0,0
62316,Bowen,17067,7,545,0,0,0,0
62321,Carthage,17067,7,3845,2,2,3,4
62341,Hamilton,17067,7,3454,2,2,3,4
62349,Loraine,17067,7,166,0,0,0,0
62351,Mendon,17067,7,1879,1,1,1,1
62354,Nauvoo,17067,7,1592,1,1,1,1
62358,Niota,17067,7,884,0,0,0,0
62373,Sutter,17067,7,294,0,0,0,0
62379,Warsaw,17067,7,1725,1,1,1,1
62380,West Point,17067,7,488,0,0,0,0
62919,Cave In Rock,17069,7,1052,2,2,3,4
62931,Elizabethtown,17069,7,1445,3,3,4,6
62982,Rosiclare,17069,7,960,2,2,3,4
61418,Biggsville,17071,7,542,0,0,0,0
61425,Carman,17071,7,135,0,0,0,0
61437,Gladstone,17071,7,972,1,1,1,1
61454,Lomax,17071,7,500,0,0,0,0
61460,Media,17071,7,322,0,0,0,0
61469,Oquawka,17071,7,2248,2,2,3,4
61480,Stronghurst,17071,7,1210,1,1,1,1
62330,Dallas City,17071,7,1746,2,2,3,4
61234,Annawan,17073,21,1267,1,1,1,1
61235,Atkinson,17073,21,1519,1,1,1,1
61238,Cambridge,17073,21,3534,2,2,3,4
61241,Colona,17073,21,6827,5,5,7,10
61254,Geneseo,17073,21,11004,8,8,12,18
61258,Hooppole,17073,21,236,0,0,0,0
61274,Osco,17073,21,3243,2,2,3,4
61344,Mineral,17073,21,376,0,0,0,0
61361,Sheffield,17073,21,1117,1,1,1,1
61413,Alpha,17073,21,906,1,1,1,1
61468,Ophiem,17073,21,81,0,0,0,0
60911,Ashkum,17075,14,1308,1,1,1,1
60912,Beaverville,17075,14,521,0,0,0,0
60918,Buckley,17075,14,777,0,0,0,0
60924,Cissna Park,17075,14,1485,1,1,1,1
60927,Clifton,17075,14,2106,1,1,1,1
60928,Crescent City,17075,14,2106,1,1,1,1
60930,Danforth,17075,14,925,0,0,0,0
60931,Donovan,17075,14,925,0,0,0,0
60938,Gilman,17075,14,1959,1,1,1,1
60948,Loda,17075,14,1496,1,1,1,1
60951,Martinton,17075,14,825,0,0,0,0
60953,Milford,17075,14,2449,1,1,1,1
60955,Onarga,17075,14,1614,1,1,1,1
60966,Sheldon,17075,14,1626,1,1,1,1
60968,Thawville,17075,14,335,0,0,0,0
60970,Watseka,17075,14,6948,3,3,4,6
60973,Wellington,17075,14,411,0,0,0,0
62903,Carbondale,17077,56,3211,8,8,12,18
62932,Elkville,17077,56,1498,4,4,6,9
62940,Gorham,17077,56,340,1,1,1,1
62942,Grand Tower,17077,56,558,1,1,1,1
62950,Jacob,17077,56,204,1,1,1,1
62966,Murphysboro,17077,56,15260,39,39,58,87
62975,Pomona,17077,56,325,1,1,1,1
62994,Vergennes,17077,56,625,2,2,3,4
62420,Casey,17079,14,4762,3,3,4,6
62424,Dieterich,17079,14,2445,2,2,3,4
62432,Hidalgo,17079,14,417,0,0,0,0
62434,Ingraham,17079,14,927,1,1,1,1
62436,Jewett,17079,14,697,0,0,0,0
62445,Montrose,17079,14,1290,1,1,1,1
62449,Oblong,17079,14,3118,2,2,3,4
62467,Teutopolis,17079,14,4281,3,3,4,6
62475,West Liberty,17079,14,1443,1,1,1,1
62479,Wheeler,17079,14,935,1,1,1,1
62480,Willow Hill,17079,14,470,0,0,0,0
62481,Yale,17079,14,430,0,0,0,0
62816,Bonnie,17081,14,1198,1,1,1,1
62846,Ina,17081,14,2704,1,1,1,1
62864,Mount Vernon,17081,14,23586,10,10,15,22
62872,Opdyke,17081,14,1067,0,0,0,0
62894,Waltonville,17081,14,1061,0,0,0,0
62898,Woodlawn,17081,14,2285,1,1,1,1
62022,Dow,17083,14,1060,1,1,1,1
62028,Elsah,17083,14,1279,1,1,1,1
62031,Fieldon,17083,14,149,0,0,0,0
62037,Grafton,17083,14,2205,1,1,1,1
62052,Jerseyville,17083,14,12292,6,6,9,13
62054,Kane,17083,14,12292,6,6,9,13
61001,Apple River,17085,7,1042,0,0,0,0
61025,East Dubuque,17085,7,4645,1,1,1,1
61028,Elizabeth,17085,7,2051,0,0,0,0
61036,Galena,17085,7,6620,2,2,3,4
61041,Hanover,17085,7,959,0,0,0,0
61053,Mount Carroll,17085,7,2612,1,1,1,1
61074,Savanna,17085,7,4188,1,1,1,1
61075,Scales Mound,17085,7,4188,1,1,1,1
61085,Stockton,17085,7,3629,1,1,1,1
62967,New Burnside,17087,7,15260,5,5,7,10
62995,Vienna,17087,7,5928,2,2,3,4
60110,Carpentersville,17089,847,39333,48,48,72,108
60118,Dundee,17089,847,15836,19,19,28,42
60119,Elburn,17089,847,10246,13,13,19,28
60120,Elgin,17089,847,50922,62,62,93,139
60122,Carol Stream,17089,847,50922,62,62,93,139
60123,Elgin,17089,847,48952,60,60,90,135
60124,Elgin,17089,847,22338,27,27,40,60
60134,Geneva,17089,847,29401,36,36,54,81
60136,Gilberts,17089,847,7742,9,9,13,19
60140,Hampshire,17089,847,17639,22,22,33,49
60151,Maple Park,17089,847,4024,5,5,7,10
60174,Saint Charles,17089,847,31405,38,38,57,85
60175,Saint Charles,17089,847,25734,31,31,46,69
60177,South Elgin,17089,847,23109,28,28,42,63
60178,Sycamore,17089,847,22413,27,27,40,60
60179,Hoffman Estates,17089,847,22413,27,27,40,60
60184,Wayne,17089,847,2357,3,3,4,6
60185,West Chicago,17089,847,36129,44,44,66,99
60502,Aurora,17089,847,22622,28,28,42,63
60505,Aurora,17089,847,77190,94,94,141,211
60506,Aurora,17089,847,54216,66,66,99,148
60510,Batavia,17089,847,29533,36,36,54,81
60511,Big Rock,17089,847,1932,2,2,3,4
60539,Mooseheart,17089,847,28451,35,35,52,78
60542,North Aurora,17089,847,18125,22,22,33,49
60424,Gardner,17091,70,2465,2,2,3,4
60901,Kankakee,17091,70,35509,25,25,37,55
60913,Bonfield,17091,70,1409,1,1,1,1
60914,Bourbonnais,17091,70,29969,21,21,31,46
60915,Bradley,17091,70,10121,7,7,10,15
60922,Chebanse,17091,70,2389,2,2,3,4
60935,Essex,17091,70,1210,1,1,1,1
60941,Herscher,17091,70,2180,2,2,3,4
60954,Momence,17091,70,5846,4,4,6,9
60958,Pembroke Township,17091,70,1784,1,1,1,1
60964,Saint Anne,17091,70,5070,4,4,6,9
60450,Morris,17093,399,20460,59,59,88,132
60504,Aurora,17093,399,38013,110,110,165,247
60512,Bristol,17093,399,1184,3,3,4,6
60538,Montgomery,17093,399,28451,82,82,123,184
60545,Plano,17093,399,13259,38,38,57,85
60554,Sugar Grove,17093,399,12166,35,35,52,78
60560,Yorkville,17093,399,24886,72,72,108,162
61414,Altona,17095,35,937,1,1,1,1
61428,Dahinda,17095,35,1022,1,1,1,1
61430,East Galesburg,17095,35,677,1,1,1,1
61436,Gilson,17095,35,650,1,1,1,1
61448,Knoxville,17095,35,3837,4,4,6,9
61458,Maquon,17095,35,20698,21,21,31,46
61467,Oneida,17095,35,1170,1,1,1,1
61472,Rio,17095,35,517,1,1,1,1
61485,Victoria,17095,35,447,0,0,0,0
61488,Wataga,17095,35,1040,1,1,1,1
61490,Woodhull,17095,35,1134,1,1,1,1
61544,London Mills,17095,35,590,1,1,1,1
61572,Yates City,17095,35,1191,1,1,1,1
60002,Antioch,17097,1540,24066,43,43,64,96
60015,Deerfield,17097,1540,27452,50,50,75,112
60020,Fox Lake,17097,1540,9827,18,18,27,40
60030,Grayslake,17097,1540,36817,66,66,99,148
60031,Gurnee,17097,1540,37172,67,67,100,150
60035,Highland Park,17097,1540,29734,54,54,81,121
60037,Fort Sheridan,17097,1540,29734,54,54,81,121
60038,Palatine,17097,1540,29734,54,54,81,121
60040,Highwood,17097,1540,5366,10,10,15,22
60041,Ingleside,17097,1540,8897,16,16,24,36
60044,Lake Bluff,17097,1540,10003,18,18,27,40
60045,Lake Forest,17097,1540,21131,38,38,57,85
